iter	Passed	Remaining
623	1230	741
624	1231	738
625	1232	736
626	1233	733
627	1234	731
628	1235	728
629	1237	726
630	1238	724
631	1239	721
632	1240	719
633	1241	716
634	1242	714
635	1243	711
636	1244	709
637	1245	706
638	1246	704
639	1247	701
640	1248	699
641	1250	697
642	1251	695
643	1253	692
644	1254	690
645	1255	688
646	1256	685
647	1257	683
648	1258	680
649	1259	678
650	1260	675
651	1261	673
652	1262	670
653	1263	668
654	1264	666
655	1265	663
656	1267	661
657	1269	659
658	1270	657
659	1271	654
660	1272	652
661	1273	650
662	1274	647
663	1275	645
664	1276	643
665	1277	640
666	1278	638
667	1279	635
668	1281	634
669	1283	631
670	1284	629
671	1285	627
672	1286	624
673	1287	622
674	1288	620
675	1289	617
676	1290	615
677	1291	613
678	1292	610
679	1293	608
680	1294	606
681	1295	604
682	1297	602
683	1298	600
684	1299	597
685	1300	595
686	1301	593
687	1302	590
688	1303	588
689	1304	586
690	1305	583
691	1306	581
692	1307	579
693	1310	577
694	1312	576
695	1314	574
696	1315	571
697	1316	569
698	1317	567
699	1318	565
700	1319	562
701	1320	560
702	1321	558
703	1322	556
704	1323	553
705	1325	551
706	1326	549
707	1327	547
708	1328	545
709	1330	543
710	1331	541
711	1332	538
712	1333	536
713	1334	534
714	1335	532
715	1336	529
716	1337	527
717	1338	525
718	1340	523
719	1341	521
720	1342	519
721	1343	517
722	1344	515
723	1345	512
724	1346	510
725	1347	508
726	1348	506
727	1349	504
728	1350	502
729	1351	499
730	1352	497
731	1353	495
732	1354	493
733	1356	491
734	1357	489
735	1358	487
736	1359	485
737	1360	483
738	1361	480
739	1362	478
740	1363	476
741	1364	474
742	1365	472
743	1366	470
744	1367	468
745	1370	466
746	1371	464
747	1372	462
748	1374	460
749	1375	458
750	1376	456
751	1377	454
752	1378	452
753	1379	449
754	1380	447
755	1381	445
756	1382	443
757	1383	441
758	1385	440
759	1386	437
760	1387	435
761	1388	433
762	1389	431
763	1390	429
764	1391	427
765	1392	425
766	1393	423
767	1394	421
768	1395	419
769	1396	417
770	1398	415
771	1400	413
772	1402	411
773	1402	409
774	1403	407
775	1404	405
776	1405	403
777	1406	401
778	1407	399
779	1408	397
780	1409	395
781	1410	393
782	1411	391
783	1413	389
784	1414	387
785	1415	385
786	1417	383
787	1418	381
788	1418	379
789	1419	377
790	1420	375
791	1422	373
792	1423	371
793	1424	369
794	1425	367
795	1426	365
796	1427	363
797	1428	361
798	1430	359
799	1431	357
800	1432	355
801	1433	353
802	1434	351
803	1435	349
804	1436	347
805	1437	345
806	1438	343
807	1438	341
808	1439	339
809	1440	338
810	1442	336
811	1443	334
812	1445	332
813	1446	330
814	1447	328
815	1448	326
816	1449	324
817	1450	322
818	1451	320
819	1452	318
820	1453	316
821	1454	315
822	1456	313
823	1459	311
824	1460	309
825	1462	308
826	1463	306
827	1464	304
828	1465	302
829	1466	300
830	1467	298
831	1468	296
832	1469	294
833	1471	292
834	1472	291
835	1474	289
836	1475	287
837	1476	285
838	1477	283
839	1478	281
840	1479	279
841	1480	277
842	1481	275
843	1482	274
844	1483	272
845	1484	270
846	1485	268
847	1487	266
848	1488	264
849	1490	263
850	1492	261
851	1493	259
852	1494	257
853	1495	255
854	1496	253
855	1497	251
856	1498	250
857	1499	248
858	1504	246
859	1506	245
860	1510	243
861	1516	242
862	1521	241
863	1523	239
864	1525	238
865	1527	236
866	1530	234
867	1532	233
868	1534	231
869	1536	229
870	1538	227
871	1540	226
872	1542	224
873	1560	224
874	1562	223
875	1564	221
876	1565	219
877	1567	217
878	1569	216
879	1571	214
880	1573	212
881	1576	210
882	1578	209
883	1580	207
884	1582	205
885	1583	203
886	1584	201
887	1586	200
888	1588	198
889	1590	196
890	1592	194
891	1593	192
892	1598	191
893	1600	189
894	1611	189
895	1613	187
896	1615	185
897	1617	183
898	1619	181
899	1622	180
900	1623	178
901	1624	176
902	1626	174
903	1627	172
904	1628	170
905	1630	169
906	1631	167
907	1637	165
908	1638	164
909	1640	162
910	1641	160
911	1642	158
912	1643	156
913	1644	154
914	1646	152
915	1647	151
916	1649	149
917	1651	147
918	1653	145
919	1654	143
920	1656	142
921	1657	140
922	1658	138
923	1659	136
924	1660	134
925	1661	132
926	1663	130
927	1665	129
928	1667	127
929	1668	125
930	1669	123
931	1670	121
932	1671	120
933	1672	118
934	1673	116
935	1674	114
936	1675	112
937	1676	110
938	1678	109
939	1680	107
940	1681	105
941	1682	103
942	1683	101
943	1684	99
944	1685	98
945	1686	96
946	1687	94
947	1688	92
948	1689	90
949	1690	88
950	1691	87
951	1694	85
952	1696	83
953	1697	81
954	1698	80
955	1699	78
956	1700	76
957	1701	74
958	1702	72
959	1703	70
960	1704	69
961	1705	67
962	1707	65
963	1709	63
964	1710	62
965	1711	60
966	1712	58
967	1713	56
968	1714	54
969	1715	53
970	1716	51
971	1717	49
972	1718	47
973	1719	45
974	1720	44
975	1722	42
976	1723	40
977	1725	38
978	1726	37
979	1727	35
980	1728	33
981	1729	31
982	1730	29
983	1731	28
984	1732	26
985	1733	24
986	1734	22
987	1736	21
988	1738	19
989	1739	17
990	1740	15
991	1741	14
992	1742	12
993	1743	10
994	1745	8
995	1746	7
996	1747	5
997	1748	3
998	1749	1
999	1750	0
